data,alpha,Exec1 (obj),Exec2 (obj),Exec2 (obj),GRASP (avg),CPLEX
instance40_1,0.1,4345,4336,4332,"4337,666667",4470
,0.2,4336,4328,4248,4304,4470
,0.3,4238,4265,4219,"4240,666667",4470
,0.4,4225,4209,4212,"4215,333333",4470
,0.5,4189,4231,4237,4219,4470
,0.6,4131,4240,4229,4200,4470
,0.7,4229,4149,4197,"4191,666667",4470
,0.8,4288,4216,4161,"4221,666667",4470
,0.9,4127,4205,4242,"4191,333333",4470
,1.0,4301,4263,4198,4254,4470
instance43_1,0.1,4835,4843,4858,"4845,333333",5058
,0.2,4818,4842,4816,"4825,333333",5058
,0.3,4815,4774,4773,"4787,333333",5058
,0.4,4772,4761,4804,4779,5058
,0.5,4829,4740,4763,"4777,333333",5058
,0.6,4751,4733,4768,"4750,666667",5058
,0.7,4668,4758,4687,"4704,333333",5058
,0.8,4771,4765,4779,"4771,666667",5058
,0.9,4654,4738,4715,"4702,333333",5058
,1.0,4683,4784,4757,"4741,333333",5058
instance45_1,0.1,5349,5347,5329,"5341,666667",5644
,0.2,5356,5355,5344,"5351,666667",5644
,0.3,5301,5305,5327,5311,5644
,0.4,5320,5327,5304,5317,5644
,0.5,5251,5284,5290,5275,5644
,0.6,5275,5240,5216,"5243,666667",5644
,0.7,5177,5238,5306,"5240,333333",5644
,0.8,5177,5154,5168,"5166,333333",5644
,0.9,5158,5198,5131,"5162,333333",5644
,1.0,5244,5120,5310,"5224,666667",5644